CacheSize; PageFaults
10;24673820
20;10884791
30;7052265
40;5128830
50;3883908
60;2913374
70;2113349
80;1439346
90;857835
100;365132
110;47331
120;20551
130;15431
140;12770
150;10601
160;9512
170;8365
180;7371
190;6782
200;5545
210;4989
220;4241
230;3568
240;2942
250;2279
260;1795
270;1229
280;1143
290;839
300;641
310;728
320;611
330;650
340;568
350;520
360;524
370;438
380;439
390;408
400;396
410;396
420;396
430;396
440;396
450;396
460;396
470;396
480;396
490;396
500;396
510;396
520;396
530;396
540;396
550;396
560;396
570;396
580;396
590;396
600;396
610;396
620;396
630;396
640;396
650;396
660;396
670;396
680;396
690;396
700;396
710;396
720;396
730;396
740;396
750;396
760;396
770;396
780;396
790;396
800;396
810;396
820;396
830;396
840;396
850;396
860;396
870;396
880;396
890;396
900;396
910;396
