CacheSize;OnMin;LRU;FIFO;Random;RandomLRU Range10;RandomLRU2 (R10, D1);RandomLRU2 (R10, D2);RandomLRU2 (R10, D3);;;Distribution 1;Distribution 2;Distribution 3
10;45796;72938;98939;110515;110480;74650;79513;72974;;;2;1;0
11;39000;63726;84170;92847;86006;64669;67311;63748;;;4;2;0
12;33977;57571;74499;79664;69269;57785;59399;57531;;;8;3;0
13;29894;52875;66668;69583;57168;52716;53308;52778;;;16;4;0
14;26517;48645;60264;61546;49371;48351;48626;48610;;;32;5;0
15;23650;45397;55006;54737;44129;44832;44751;45289;;;64;6;0
16;21167;42336;50525;48837;40070;41795;41640;42288;;;128;7;0
17;19003;40047;46432;44149;36533;39275;38951;39977;;;256;8;1
18;17039;37765;43534;39940;33637;36816;36440;37674;;;512;9;9
19;15288;35640;41044;35754;31051;34744;34244;35547;;;1024;55;90
20;13687;33326;38304;32571;28972;32519;31960;33234;;;;;
21;12230;31293;34473;29257;26770;30363;29873;31182;;;;;
22;10877;29336;31980;26547;24467;28359;27917;29214;;;;;
23;9616;27211;30021;23650;22592;26370;25972;27141;;;;;
24;8468;25437;28116;21121;20635;24628;24248;25369;;;;;
25;7423;24022;25396;18611;18815;23155;22585;23936;;;;;
26;6447;22519;23787;16491;17030;21512;20903;22418;;;;;
27;5549;20897;21885;14566;15279;19923;19164;20806;;;;;
28;4723;19258;18853;12850;13602;18168;17333;19165;;;;;
29;3969;17736;17746;11270;11933;16502;15540;17637;;;;;
30;3273;16087;15985;9804;10224;14484;13423;15922;;;;;
31;2639;13224;13793;8366;8374;11849;11045;13092;;;;;
32;2107;10962;11240;7191;6749;9529;8835;10805;;;;;
33;1661;8476;8683;5964;5506;7242;6760;8337;;;;;
34;1289;6403;6385;5132;4352;5335;4975;6279;;;;;
35;991;3949;5304;4105;3181;3611;3394;3906;;;;;
36;793;3192;3998;3338;2521;2852;2703;3166;;;;;
37;624;2479;3749;2807;2011;2254;2107;2452;;;;;
38;488;1998;2883;2307;1536;1716;1617;1936;;;;;
39;374;1330;2193;1739;1263;1179;1162;1303;;;;;
40;285;858;1678;1569;926;797;758;840;;;;;
41;219;620;1352;1331;691;558;558;620;;;;;
42;170;449;971;914;568;411;387;442;;;;;
43;139;304;903;855;388;304;299;297;;;;;
44;119;226;594;738;328;221;240;229;;;;;
45;102;181;492;555;236;177;184;182;;;;;
46;90;146;413;472;183;156;146;143;;;;;
47;83;114;312;370;139;120;122;112;;;;;
48;79;109;279;327;138;109;113;109;;;;;
49;76;100;220;219;109;102;104;99;;;;;
50;74;96;197;240;111;95;98;94;;;;;
51;72;88;172;205;96;87;92;87;;;;;
52;70;83;140;191;93;85;88;84;;;;;
53;68;80;119;182;92;79;81;79;;;;;
54;67;76;114;186;84;75;77;76;;;;;
55;67;73;114;136;78;75;74;75;;;;;
56;67;72;110;115;77;73;76;72;;;;;
57;67;71;110;114;84;73;71;72;;;;;
58;67;71;110;91;73;70;70;71;;;;;
59;67;69;110;110;71;70;70;69;;;;;
60;67;69;107;102;71;69;70;69;;;;;
61;67;68;107;92;69;68;68;68;;;;;
62;67;67;79;79;69;67;67;67;;;;;
63;67;67;75;85;68;68;67;67;;;;;
64;67;67;74;71;67;67;67;67;;;;;
65;67;67;72;67;67;67;67;67;;;;;
66;67;67;70;68;67;67;67;67;;;;;
67;67;67;67;67;67;67;67;67;;;;;
68;67;67;67;67;67;67;67;67;;;;;
